2012 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,15.71,13.68,11.83,6.68,14.02
Connecticut,17.34,14.65,12.67,9.69,15.54
Maine,14.66,11.53,7.98,.,11.81
Massachusetts,14.91,13.84,12.57,4.91,13.79
New Hampshire,16.07,13.36,11.83,.,14.19
Rhode Island,14.40,11.87,10.68,8.28,12.74
Vermont,17.01,14.32,9.98,.,14.22
Middle Atlantic,15.27,12.97,7.49,12.50,12.75
New Jersey,15.78,12.78,10.52,9.77,13.68
New York,17.62,15.06,6.70,14.20,15.15
Pennsylvania,12.75,9.44,7.23,8.07,9.91
East North Central,12.05,9.46,6.51,6.33,9.27
Illinois,11.38,7.99,5.80,6.15,8.40
Indiana,10.53,9.14,6.34,9.56,8.29
Michigan,14.13,10.93,7.62,8.08,10.98
Ohio,11.76,9.47,6.24,6.98,9.12
Wisconsin,13.19,10.51,7.34,.,10.28
West North Central,10.59,8.48,6.28,7.72,8.54
Iowa,10.82,8.01,5.30,.,7.71
Kansas,11.24,9.24,7.09,.,9.33
Minnesota,11.35,8.84,6.54,8.67,8.86
Missouri,10.17,8.20,5.89,6.97,8.53
Nebraska,10.04,8.38,7.01,.,8.37
North Dakota,9.06,8.02,6.55,.,7.83
South Dakota,10.07,8.10,6.57,.,8.49
South Atlantic,11.38,9.37,6.55,8.44,9.73
Delaware,13.58,10.13,8.36,.,11.06
District of Columbia,12.28,12.02,5.46,9.01,11.85
Florida,11.42,9.66,8.04,8.45,10.44
Georgia,11.17,9.58,5.98,7.65,9.37
Maryland,12.84,10.43,8.09,8.29,11.28
North Carolina,10.91,8.66,6.42,7.88,9.15
South Carolina,11.77,9.63,6.02,.,9.10
Virginia,11.08,8.08,6.72,8.51,9.07
West Virginia,9.85,8.42,6.33,8.66,8.14
East South Central,10.32,9.87,6.11,11.28,8.58
Alabama,11.40,10.63,6.22,.,9.18
Kentucky,9.43,8.73,5.35,.,7.26
Mississippi,10.26,9.33,6.24,.,8.60
Tennessee,10.10,10.31,7.08,11.28,9.27
West South Central,10.30,7.99,5.39,10.30,8.11
Arkansas,9.30,7.71,5.76,11.23,7.62
Louisiana,8.37,7.75,4.76,8.72,6.90
Oklahoma,9.51,7.32,5.09,.,7.54
Texas,10.98,8.16,5.57,10.54,8.55
Mountain,10.94,8.99,6.18,9.62,8.82
Arizona,11.29,9.53,6.53,.,9.81
Colorado,11.46,9.39,6.95,9.69,9.39
Idaho,8.67,6.86,5.48,.,6.92
Montana,10.08,9.13,5.10,.,8.25
Nevada,11.83,8.83,6.48,8.40,8.95
New Mexico,11.37,9.32,5.83,.,8.83
Utah,9.93,8.06,5.62,9.79,7.84
Wyoming,9.85,8.24,6.03,.,7.19
Pacific Contiguous,12.94,11.92,7.78,7.21,11.38
California,15.34,13.41,10.49,7.17,13.53
Oregon,9.80,8.31,5.59,8.24,8.21
Washington,8.53,7.68,4.13,8.06,6.94
Pacific Noncontiguous,28.76,25.50,26.99,.,26.96
Alaska,17.88,14.93,16.82,.,16.33
Hawaii,37.34,34.88,30.82,.,34.04
U.S. Total,11.88,10.09,6.67,10.21,9.84
