"Census Division
State",,"Number of
Consumers","Average Monthly
Select Energy,,,1,,,"1,173",,,,,"18,290",,,6.41,,,,,,,,
Select Energy New York Inc,,,1,,,2,,,,,40,,,5.00,,,,,,,,
TransCanada Power Mktg Ltd,,,131,,,"12,517",,,,,"214,301",,,5.84,,,,,,,,
State Total,,,133,,,"13,692",,,,,"232,631",,,5.89,,,,,,,,
Michigan,,,,,,,,,,,,,,,,,,,,,,
Nordic Electric LLC,,,3,,,"1,324",,,,,"28,218",,,4.69,,,,,,,,
Nordic Marketing LLC,,,6,,,"1,930",,,,,"39,593",,,4.87,,,,,,,,
State Total,,,9,,,"3,254",,,,,"67,811",,,4.80,,,,,,,,
Montana,,,,,,,,,,,,,,,,,,,,,,
"Enron Power Marketing, Inc",,,5,,,"26,587",,,,,"366,128",,,7.26,,,,,,,,
Granite Peak Energy,,,2,,,"5,000",,,,,"78,362",,,6.38,,,,,,,,
PPL EnergyPlus LLC,,,7,,,"81,323",,,,,"782,951",,,10.39,,,,,,,,
State Total,,,14,,,"112,910",,,,,"1,227,441",,,9.20,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,
Allegheny Energy Supply Co LLC,,,8,,,"1,204",,,,,"40,866",,,2.95,,,,,,,,
Amerada Hess Corporation,,,575,,,"11,744",,,,,"281,709",,,4.17,,,,,,,,
"Exelon Energy, Inc",,,233,,,840,,,,,"18,026",,,4.66,,,,,,,,
FirstEnergy Solutions Corp,,,10,,,357,,,,,"7,827",,,4.56,,,,,,,,
PPL EnergyPlus LLC,,,15,,,"4,116",,,,,"106,670",,,3.86,,,,,,,,
Select Energy New York Inc,,,3,,,"1,070",,,,,"19,256",,,5.56,,,,,,,,
South Jersey Energy Company,,,2,,,632,,,,,"15,907",,,3.97,,,,,,,,
"UGI Energy Services, Inc",,,47,,,320,,,,,"6,925",,,4.62,,,,,,,,
State Total,,,893,,,"20,283",,,,,"497,186",,,4.08,,,,,,,,
New York,,,,,,,,,,,,,,,,,,,,,,
Amerada Hess Corporation,,,878,,,"50,242",,,,,"566,168",,,8.87,,,,,,,,
Empire Natural Gas Corporation,,,18,,,821,,,,,"18,408",,,4.46,,,,,,,,
