2021 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,21.51,16.34,12.80,8.83,18.03
Connecticut,21.91,16.46,9.63,12.50,18.32
Maine,17.02,12.90,9.55,.,13.96
Massachusetts,22.89,16.99,15.18,6.51,19.06
New Hampshire,19.85,16.13,13.81,.,17.37
Rhode Island,22.30,15.51,16.06,19.75,18.44
Vermont,19.26,16.59,11.38,.,16.34
Middle Atlantic,16.48,13.37,6.87,11.63,13.22
New Jersey,16.35,12.69,10.70,9.24,14.01
New York,19.48,16.07,6.34,12.67,16.11
Pennsylvania,13.76,8.91,6.54,6.84,9.97
East North Central,14.07,10.66,7.22,6.67,10.69
Illinois,13.18,9.65,7.30,6.42,10.14
Indiana,13.37,11.58,7.39,10.05,10.36
Michigan,17.54,12.31,7.69,12.30,12.93
Ohio,12.77,9.75,6.55,7.41,9.76
Wisconsin,14.52,10.95,7.63,15.12,11.01
West North Central,12.19,9.97,7.35,9.36,9.90
Iowa,12.73,10.17,6.63,.,9.13
Kansas,12.98,10.52,7.38,.,10.47
Minnesota,13.50,11.22,8.29,10.38,11.08
Missouri,11.41,9.17,7.11,8.23,9.85
Nebraska,10.75,8.81,7.26,.,8.84
North Dakota,10.85,9.17,7.37,.,8.65
South Dakota,12.22,10.15,8.02,.,10.43
South Atlantic,12.10,9.41,6.51,8.19,10.12
Delaware,12.52,9.48,7.60,.,10.50
District of Columbia,13.09,13.00,7.87,9.76,12.81
Florida,11.90,9.51,7.65,8.31,10.67
Georgia,12.51,10.61,6.49,6.61,10.43
Maryland,13.12,10.26,8.46,7.58,11.48
North Carolina,11.32,8.50,6.14,7.85,9.29
South Carolina,12.86,10.67,6.07,.,9.96
Virginia,11.96,7.79,6.49,8.49,9.14
West Virginia,12.15,9.50,6.07,.,8.87
East South Central,11.74,11.07,5.97,.,9.69
Alabama,12.96,11.84,6.33,.,10.18
Kentucky,11.50,10.75,5.95,.,9.12
Mississippi,11.56,10.81,5.95,.,9.50
Tennessee,11.07,10.87,5.51,.,9.78
West South Central,11.78,8.94,6.12,6.81,9.03
Arkansas,11.27,9.56,6.57,13.56,9.10
Louisiana,11.02,10.23,6.21,10.77,8.82
Oklahoma,11.00,8.70,5.50,.,8.52
Texas,12.11,8.72,6.12,6.59,9.14
Mountain,12.04,9.71,6.68,9.94,9.70
Arizona,12.54,10.33,6.79,9.33,10.73
Colorado,13.07,10.84,8.01,9.44,10.90
Idaho,10.16,7.89,6.39,.,8.17
Montana,11.22,10.54,6.24,.,9.50
Nevada,11.49,7.77,6.02,7.72,8.58
New Mexico,13.52,10.80,6.16,.,9.79
Utah,10.43,8.13,6.19,11.21,8.34
Wyoming,11.17,9.68,6.83,.,8.25
Pacific Contiguous,18.01,16.23,10.81,11.47,15.70
California,22.82,19.18,14.82,11.79,19.65
Oregon,11.37,9.10,5.97,9.71,8.95
Washington,10.11,9.14,5.81,9.89,8.75
Pacific Noncontiguous,28.85,25.48,24.19,.,26.19
Alaska,22.55,19.61,16.85,.,20.02
Hawaii,33.49,30.88,27.12,.,30.31
U.S. Total,13.66,11.22,7.18,10.20,11.10
