2013 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,16.22,13.97,12.25,12.15,14.47
Connecticut,17.55,14.63,12.61,10.31,15.66
Maine,14.35,11.74,8.34,.,11.86
Massachusetts,15.83,14.23,13.18,13.06,14.51
New Hampshire,16.33,13.52,11.40,.,14.30
Rhode Island,15.20,12.92,11.82,13.03,13.72
Vermont,17.14,14.66,10.84,.,14.62
Middle Atlantic,15.70,13.06,7.27,12.23,12.85
New Jersey,15.73,12.77,10.80,10.60,13.69
New York,18.79,15.35,6.58,13.65,15.44
Pennsylvania,12.79,9.25,6.97,7.81,9.81
East North Central,12.14,9.58,6.65,5.61,9.40
Illinois,10.63,8.14,5.94,5.34,8.26
Indiana,10.99,9.60,6.70,9.87,8.73
Michigan,14.59,11.06,7.72,8.77,11.21
Ohio,12.01,9.35,6.22,6.62,9.20
Wisconsin,13.55,10.74,7.40,.,10.51
West North Central,10.94,8.98,6.67,8.73,8.98
Iowa,11.05,8.44,5.62,.,8.07
Kansas,11.64,9.68,7.39,.,9.72
Minnesota,11.81,9.42,6.98,9.79,9.41
Missouri,10.60,8.80,6.29,7.81,9.04
Nebraska,10.31,8.60,7.44,.,8.74
North Dakota,9.12,8.39,7.13,.,8.20
South Dakota,10.26,8.51,6.97,.,8.86
South Atlantic,11.39,9.38,6.55,8.64,9.75
Delaware,12.95,10.20,8.43,.,10.90
District of Columbia,12.57,11.94,5.54,9.52,11.85
Florida,11.27,9.39,7.61,8.69,10.22
Georgia,11.46,9.99,6.27,8.03,9.69
Maryland,13.25,10.68,8.36,8.47,11.66
North Carolina,10.97,8.76,6.45,7.94,9.24
South Carolina,11.99,9.88,6.01,.,9.24
Virginia,10.84,8.00,6.63,8.17,8.96
West Virginia,9.52,8.17,6.20,8.68,7.91
East South Central,10.40,9.81,5.98,11.68,8.71
Alabama,11.26,10.51,5.95,.,9.02
Kentucky,9.79,8.56,5.66,.,7.69
Mississippi,10.78,10.10,6.34,.,9.11
Tennessee,9.98,10.00,6.29,11.68,9.13
West South Central,10.74,8.11,5.82,10.08,8.42
Arkansas,9.59,8.05,6.04,11.58,7.93
Louisiana,9.43,8.96,5.92,9.45,8.04
Oklahoma,9.67,7.77,5.49,.,7.86
Texas,11.35,8.02,5.81,10.19,8.66
Mountain,11.31,9.35,6.48,10.47,9.18
Arizona,11.71,9.85,6.66,.,10.14
Colorado,11.93,9.86,7.34,10.55,9.88
Idaho,9.32,7.37,6.10,.,7.58
Montana,10.33,9.54,5.43,.,8.58
Nevada,11.89,9.01,6.52,8.47,9.03
New Mexico,11.68,9.74,6.36,.,9.25
Utah,10.37,8.32,5.87,10.68,8.15
Wyoming,10.16,8.57,6.42,.,7.55
Pacific Contiguous,13.48,12.57,8.13,8.54,11.93
California,16.19,14.22,10.96,8.54,14.28
Oregon,9.90,8.68,5.80,8.88,8.44
Washington,8.70,7.78,4.23,8.04,7.09
Pacific Noncontiguous,28.56,25.49,26.08,.,26.59
Alaska,18.12,15.58,15.83,.,16.49
Hawaii,36.98,34.05,29.87,.,33.26
U.S. Total,12.12,10.28,6.84,10.55,10.07
