2016 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,18.81,15.18,12.20,8.19,16.13
Connecticut,20.01,15.75,12.81,10.84,17.24
Maine,15.83,12.08,8.96,.,12.80
Massachusetts,19.00,15.60,13.38,5.94,16.48
New Hampshire,18.38,14.43,12.34,.,15.66
Rhode Island,18.62,14.88,13.48,18.71,16.28
Vermont,17.37,14.54,10.23,.,14.46
Middle Atlantic,15.68,12.48,7.03,10.88,12.56
New Jersey,15.72,12.26,10.16,8.68,13.38
New York,17.58,14.45,6.03,12.05,14.47
Pennsylvania,13.86,9.22,6.92,7.64,10.19
East North Central,13.06,9.96,6.92,6.91,9.94
Illinois,12.54,9.02,6.51,6.67,9.38
Indiana,11.79,10.01,6.97,9.82,9.22
Michigan,15.22,10.64,6.91,11.63,11.05
Ohio,12.47,9.97,6.98,7.93,9.84
Wisconsin,14.07,10.77,7.49,14.68,10.67
West North Central,11.79,9.54,7.12,9.24,9.59
Iowa,11.94,9.17,6.05,.,8.55
Kansas,13.06,10.47,7.49,.,10.49
Minnesota,12.67,9.86,7.37,10.06,9.99
Missouri,11.21,9.26,7.12,8.31,9.74
Nebraska,10.84,8.80,7.69,.,9.05
North Dakota,10.16,9.15,7.98,.,8.94
South Dakota,11.47,9.58,7.57,.,9.83
South Atlantic,11.56,9.24,6.45,7.93,9.79
Delaware,13.42,10.07,8.11,.,11.09
District of Columbia,12.29,11.72,8.80,9.53,11.73
Florida,10.98,8.90,7.69,8.32,9.91
Georgia,11.50,9.81,5.84,5.08,9.59
Maryland,14.23,10.99,7.89,7.85,12.21
North Carolina,11.03,8.62,6.31,7.88,9.20
South Carolina,12.65,10.28,6.09,.,9.79
Virginia,11.36,7.93,6.56,7.76,9.09
West Virginia,11.44,9.35,6.57,.,8.98
East South Central,10.86,10.20,5.81,.,9.04
Alabama,11.99,11.11,6.04,.,9.56
Kentucky,10.49,9.57,5.67,.,8.42
Mississippi,10.47,9.57,5.79,.,8.67
Tennessee,10.41,10.19,5.68,.,9.23
West South Central,10.59,8.23,5.31,7.99,8.19
Arkansas,9.92,8.23,6.08,10.40,8.13
Louisiana,9.34,8.59,5.08,9.03,7.46
Oklahoma,10.20,7.66,5.02,.,7.83
Texas,10.99,8.26,5.33,7.92,8.43
Mountain,11.65,9.49,6.38,9.67,9.31
Arizona,12.15,10.41,6.07,9.93,10.33
Colorado,12.07,9.60,7.35,9.80,9.83
Idaho,9.95,7.76,6.55,.,8.08
Montana,10.94,10.19,5.06,.,8.84
Nevada,11.41,7.93,5.88,7.83,8.38
New Mexico,12.03,9.75,5.84,.,9.12
Utah,11.02,8.75,6.33,9.76,8.72
Wyoming,11.13,9.40,6.92,.,8.19
Pacific Contiguous,14.59,13.27,8.94,9.78,12.75
California,17.39,15.07,11.92,9.80,15.23
Oregon,10.66,8.91,6.05,9.26,8.83
Washington,9.48,8.43,4.43,8.89,7.68
Pacific Noncontiguous,24.36,21.33,19.21,.,21.53
Alaska,20.30,17.56,15.22,.,17.93
Hawaii,27.47,24.64,20.69,.,23.87
U.S. Total,12.55,10.43,6.76,9.63,10.27
