2019 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,21.10,16.33,13.07,9.20,17.76
Connecticut,21.87,16.75,13.44,13.69,18.66
Maine,17.89,12.83,9.22,.,14.04
Massachusetts,21.92,16.80,14.76,6.15,18.40
New Hampshire,20.05,15.93,13.09,.,17.15
Rhode Island,21.73,16.38,15.59,18.49,18.49
Vermont,17.71,15.98,11.05,.,15.36
Middle Atlantic,15.80,12.21,6.57,11.17,12.35
New Jersey,15.85,12.23,10.16,8.80,13.42
New York,17.94,14.06,5.61,12.28,14.34
Pennsylvania,13.80,8.71,6.41,7.26,9.81
East North Central,13.39,10.20,6.91,7.08,10.13
Illinois,13.03,9.08,6.52,6.91,9.56
Indiana,12.58,11.03,7.36,10.76,9.91
Michigan,15.74,11.39,7.07,10.56,11.56
Ohio,12.38,9.72,6.55,6.83,9.58
Wisconsin,14.18,10.72,7.31,13.85,10.66
West North Central,11.86,9.66,7.27,8.72,9.69
Iowa,12.46,9.99,6.60,.,9.08
Kansas,12.71,10.29,7.35,.,10.26
Minnesota,13.04,10.34,7.53,9.49,10.33
Missouri,11.14,9.07,7.11,7.89,9.68
Nebraska,10.77,8.85,7.65,.,9.08
North Dakota,10.30,9.01,7.94,.,8.85
South Dakota,11.55,9.59,7.81,.,9.96
South Atlantic,11.93,9.36,6.50,7.92,10.02
Delaware,12.55,9.53,7.70,.,10.52
District of Columbia,12.98,12.26,8.22,9.50,12.27
Florida,11.70,9.27,7.65,8.32,10.44
Georgia,11.76,10.02,6.17,5.85,9.86
Maryland,13.12,9.97,7.80,7.37,11.24
North Carolina,11.42,8.81,6.30,8.20,9.45
South Carolina,12.99,10.58,6.11,.,10.02
Virginia,12.07,8.18,6.85,8.27,9.52
West Virginia,11.25,9.16,6.02,.,8.49
East South Central,11.36,10.74,5.76,.,9.40
Alabama,12.53,11.52,5.95,.,9.83
Kentucky,10.80,10.15,5.57,.,8.61
Mississippi,11.27,10.52,5.85,.,9.28
Tennessee,10.87,10.65,5.68,.,9.69
West South Central,11.17,8.20,5.43,6.61,8.36
Arkansas,9.80,8.78,6.13,11.73,8.22
Louisiana,9.80,8.91,5.23,9.08,7.71
Oklahoma,10.21,7.98,5.07,.,7.86
Texas,11.76,8.06,5.45,6.44,8.60
Mountain,11.81,9.56,6.33,9.29,9.39
Arizona,12.43,10.25,6.28,9.68,10.52
Colorado,12.18,10.43,7.40,8.70,10.17
Idaho,9.89,7.67,6.08,.,7.89
Montana,11.13,10.41,5.45,.,9.02
Nevada,12.00,8.04,6.14,8.51,8.78
New Mexico,12.51,9.79,5.48,.,8.99
Utah,10.40,8.26,5.98,10.62,8.24
Wyoming,11.18,9.64,6.73,.,8.10
Pacific Contiguous,15.65,14.42,9.67,8.98,13.79
California,19.15,16.67,13.40,8.91,16.89
Oregon,11.01,8.85,5.86,9.14,8.81
Washington,9.71,8.75,4.80,9.45,8.04
Pacific Noncontiguous,28.30,24.86,23.50,.,25.48
Alaska,22.92,19.80,16.94,.,20.22
Hawaii,32.06,29.23,25.76,.,28.72
U.S. Total,13.01,10.68,6.81,9.66,10.54
