2018 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,20.60,16.46,13.19,9.00,17.63
Connecticut,21.20,16.76,13.77,12.84,18.41
Maine,16.84,12.51,9.32,.,13.44
Massachusetts,21.61,17.17,14.89,6.38,18.50
New Hampshire,19.69,15.81,13.42,.,17.01
Rhode Island,20.55,16.58,15.39,17.01,18.10
Vermont,18.02,15.24,10.66,.,15.13
Middle Atlantic,15.97,12.43,6.96,11.13,12.63
New Jersey,15.41,12.21,10.07,9.07,13.23
New York,18.52,14.50,6.02,12.14,14.83
Pennsylvania,13.89,8.94,6.84,7.78,10.10
East North Central,13.25,10.19,7.10,6.96,10.17
Illinois,12.77,9.12,6.80,6.75,9.60
Indiana,12.26,10.60,7.38,10.44,9.75
Michigan,15.45,11.15,7.10,10.76,11.40
Ohio,12.56,10.11,7.01,7.33,9.94
Wisconsin,14.02,10.67,7.33,13.85,10.58
West North Central,12.00,9.79,7.28,9.07,9.81
Iowa,12.24,9.68,6.45,.,8.92
Kansas,13.35,10.66,7.60,.,10.72
Minnesota,13.14,10.38,7.53,9.58,10.37
Missouri,11.34,9.40,7.22,8.52,9.93
Nebraska,10.70,8.83,7.60,.,9.02
North Dakota,10.25,9.10,7.98,.,8.91
South Dakota,11.59,9.62,7.77,.,9.97
South Atlantic,11.70,9.30,6.52,7.91,9.90
Delaware,12.53,9.65,7.95,.,10.55
District of Columbia,12.84,11.97,8.30,9.54,12.03
Florida,11.54,9.19,7.67,8.26,10.31
Georgia,11.47,9.79,6.00,5.52,9.62
Maryland,13.30,10.43,8.23,7.44,11.57
North Carolina,11.09,8.58,6.33,8.02,9.25
South Carolina,12.44,10.11,6.10,.,9.66
Virginia,11.73,8.32,6.86,8.28,9.48
West Virginia,11.18,9.24,6.40,.,8.72
East South Central,11.14,10.52,5.85,.,9.29
Alabama,12.18,11.24,6.01,.,9.63
Kentucky,10.60,9.74,5.68,.,8.52
Mississippi,11.12,10.43,6.00,.,9.24
Tennessee,10.71,10.51,5.68,.,9.58
West South Central,10.77,8.21,5.40,8.16,8.27
Arkansas,9.81,7.75,5.64,11.35,7.78
Louisiana,9.59,8.85,5.35,9.21,7.71
Oklahoma,10.30,8.07,5.34,.,8.09
Texas,11.20,8.16,5.39,8.08,8.48
Mountain,11.94,9.56,6.45,9.53,9.48
Arizona,12.77,10.64,6.55,10.02,10.85
Colorado,12.15,10.02,7.47,9.00,10.02
Idaho,10.15,7.93,6.47,.,8.17
Montana,10.96,10.11,5.19,.,8.84
Nevada,11.85,7.74,6.10,8.31,8.67
New Mexico,12.68,10.02,5.84,.,9.35
Utah,10.41,8.23,5.90,10.59,8.21
Wyoming,11.29,9.58,6.71,.,8.09
Pacific Contiguous,15.56,14.20,9.64,8.67,13.66
California,18.84,16.34,13.20,8.64,16.58
Oregon,10.98,8.91,5.86,9.16,8.85
Washington,9.75,8.72,4.71,9.38,8.00
Pacific Noncontiguous,28.03,24.62,23.64,.,25.35
Alaska,21.94,18.58,17.10,.,19.36
Hawaii,32.47,29.90,26.10,.,29.18
U.S. Total,12.87,10.67,6.92,9.70,10.53
