Table 4. Average Retail Price for Bundled and Unbundled,,,,,,,
"              Consumers by Sector, Census Division, and State, 2008",,,,,,,
              (Cents per kilowatthour),,,,,,,
 Census Division , Residential , Commercial, Industrial, Transportation, All Sectors,,
      State ,,,,,,,
New England                                       ,17.70,15.64,13.80, 11.32 ,16.08,,
Connecticut                                       ,19.55,17.12,14.93, 14.69 ,17.79,,
Maine                                             ,16.20,12.98,11.70, - ,13.83,,
Massachusetts                                     ,17.68,15.80,14.85, 9.39 ,16.27,,
New Hampshire                                     ,15.68,14.32,13.17, - ,14.65,,
Rhode Island                                      ,17.45,15.36,14.20, - ,16.01,,
Vermont                                           ,14.48,12.49,9.19, - ,12.33,,
Middle Atlantic                                   ,14.88,14.12,8.20, 11.82 ,13.20,,
New Jersey                                        ,15.66,14.48,10.86, 15.98 ,14.44,,
New York                                          ,18.30,16.84,10.14, 12.64 ,16.57,,
Pennsylvania                                      ,11.35,9.38,7.02, 7.57 ,9.32,,
East North Central                                ,10.39,9.75,5.79, 7.60 ,8.54,,
Illinois                                          ,11.07,11.79,4.54, 7.23 ,9.26,,
Indiana                                           ,8.87,7.82,5.46, 9.60 ,7.09,,
Michigan                                          ,10.75,9.20,6.74, 11.83 ,8.94,,
Ohio                                              ,10.06,9.22,6.19, 10.68 ,8.39,,
Wisconsin                                         ,11.51,9.28,6.51, - ,9.00,,
West North Central                                ,8.67,7.13,5.32, 6.67 ,7.13,,
Iowa                                              ,9.49,7.18,4.81, - ,6.89,,
Kansas                                            ,8.88,7.42,5.69, - ,7.45,,
Minnesota                                         ,9.74,7.88,5.87, 8.04 ,7.79,,
Missouri                                          ,8.00,6.61,4.92, 5.40 ,6.84,,
Nebraska                                          ,7.87,6.68,5.16, - ,6.58,,
North Dakota                                      ,7.51,6.81,5.59, - ,6.69,,
South Dakota                                      ,8.27,6.97,5.31, - ,7.14,,
South Atlantic                                    ,10.66,9.30,6.28, 10.88 ,9.32,,
Delaware                                          ,13.93,12.07,10.45, - ,12.36,,
District of Columbia                              ,12.79,13.23,10.49, 13.77 ,13.10,,
Florida                                           ,11.65,10.14,8.25, 10.18 ,10.74,,
Georgia                                           ,9.93,9.07,6.67, 7.15 ,8.84,,
Maryland                                          ,13.84,12.76,10.37, 11.52 ,13.00,,
North Carolina                                    ,9.52,7.55,5.54, 6.57 ,7.96,,
South Carolina                                    ,9.89,8.42,5.37, - ,7.85,,
Virginia                                          ,9.62,7.32,5.82, 7.80 ,8.00,,
West Virginia                                     ,7.06,6.08,4.20, 6.32 ,5.61,,
East South Central                                ,9.32,9.07,5.75, 10.17 ,7.87,,
Alabama                                           ,10.40,9.87,6.11, - ,8.59,,
Kentucky                                          ,7.94,7.29,4.82, - ,6.26,,
Mississippi                                       ,10.39,10.02,6.56, - ,8.99,,
Tennessee                                         ,8.91,9.24,6.29, 10.17 ,8.18,,
West South Central                                ,11.86,10.11,8.08, 8.88 ,10.12,,
Arkansas                                          ,9.27,7.61,5.89, 11.79 ,7.60,,
Louisiana                                         ,10.28,10.12,7.94, 11.88 ,9.44,,
Oklahoma                                          ,9.09,7.88,5.90, - ,7.81,,
Texas                                             ,13.04,10.75,8.79, 8.64 ,10.99,,
Mountain                                          ,9.84,8.36,6.05, 8.25 ,8.18,,
Arizona                                           ,10.27,8.93,6.57, - ,9.11,,
Colorado                                          ,10.13,8.57,6.65, 8.32 ,8.59,,
Idaho                                             ,6.99,5.72,4.48, - ,5.69,,
Montana                                           ,9.13,8.54,5.90, - ,7.72,,
Nevada                                            ,11.93,10.07,7.98, 9.47 ,9.89,,
New Mexico                                        ,10.01,8.67,6.38, - ,8.35,,
Utah                                              ,8.26,6.66,4.59, 7.85 ,6.49,,
Wyoming                                           ,8.21,6.71,4.47, - ,5.67,,
Pacific Contiguous                                ,11.55,11.03,7.94, 8.12 ,10.56,,
California                                        ,13.81,12.54,10.04, 8.16 ,12.48,,
Oregon                                            ,8.49,7.29,5.21, 6.75 ,7.23,,
Washington                                        ,7.54,6.76,4.55, 5.82 ,6.55,,
Pacific Noncontiguous                             ,25.98,22.50,22.95, - ,23.73,,
Alaska                                            ,16.55,13.64,14.17, - ,14.73,,
Hawaii                                            ,32.50,29.72,26.05, - ,29.20,,
U.S. Total                                        ,11.26,10.36,6.83, 10.74 ,9.74,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
