2014 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,17.82,14.70,11.84,10.38,15.45
Connecticut,19.75,15.55,12.92,13.08,17.05
Maine,15.27,12.70,8.95,0.00,12.65
Massachusetts,17.39,14.68,12.74,8.76,15.35
New Hampshire,17.53,14.34,11.93,0.00,15.22
Rhode Island,17.17,14.56,12.86,14.89,15.41
Vermont,17.47,14.56,10.23,0.00,14.57
Middle Atlantic,16.39,13.65,7.61,12.28,13.41
New Jersey,15.78,13.15,11.38,10.43,13.95
New York,20.07,16.12,6.58,13.82,16.25
Pennsylvania,13.32,9.73,7.41,7.65,10.28
East North Central,12.65,10.02,7.07,7.10,9.85
Illinois,11.91,9.26,6.85,6.85,9.36
Indiana,11.46,9.96,6.97,10.20,9.06
Michigan,14.46,10.87,7.68,9.43,11.03
Ohio,12.50,9.83,6.77,8.78,9.73
Wisconsin,13.67,10.77,7.52,0.00,10.57
West North Central,11.09,9.25,6.73,8.84,9.12
Iowa,11.16,8.67,5.71,0.00,8.15
Kansas,12.17,10.13,7.80,0.00,10.16
Minnesota,12.01,9.85,6.72,9.79,9.52
Missouri,10.64,8.90,6.36,7.81,9.11
Nebraska,10.40,8.73,7.47,0.00,8.84
North Dakota,9.15,8.79,7.62,0.00,8.41
South Dakota,10.47,8.89,6.99,0.00,9.05
South Atlantic,11.74,9.68,6.75,8.40,10.07
Delaware,13.29,10.50,8.58,0.00,11.22
District of Columbia,12.74,12.19,8.41,8.80,12.11
Florida,11.89,9.87,7.90,9.25,10.77
Georgia,11.65,10.36,6.64,6.98,10.03
Maryland,13.63,11.15,9.04,8.50,12.10
North Carolina,11.10,8.75,6.50,7.84,9.33
South Carolina,12.45,10.28,6.29,0.00,9.67
Virginia,11.10,8.15,6.89,8.24,9.17
West Virginia,9.34,7.99,5.87,0.00,7.65
East South Central,10.76,10.34,6.13,8.57,9.08
Alabama,11.48,10.79,6.15,0.00,9.27
Kentucky,10.16,9.44,5.68,0.00,8.15
Mississippi,11.32,10.76,6.60,0.00,9.60
Tennessee,10.32,10.38,6.40,8.57,9.40
West South Central,11.12,8.26,6.10,5.44,8.65
Arkansas,9.51,8.05,6.02,11.35,7.90
Louisiana,9.57,9.10,6.05,9.27,8.09
Oklahoma,10.03,8.09,5.85,0.00,8.18
Texas,11.86,8.16,6.16,5.17,8.94
Mountain,11.67,9.65,6.68,10.49,9.42
Arizona,11.90,10.13,6.46,0.00,10.18
Colorado,12.18,10.08,7.47,10.79,10.06
Idaho,9.72,7.78,6.40,0.00,7.93
Montana,10.18,9.64,5.49,0.00,8.59
Nevada,12.93,9.47,7.12,9.25,9.73
New Mexico,12.28,10.27,6.61,0.00,9.65
Utah,10.65,8.53,6.08,10.34,8.35
Wyoming,10.50,8.88,6.61,0.00,7.76
Pacific Contiguous,13.64,13.60,9.08,8.91,12.55
California,16.25,15.62,12.34,8.90,15.15
Oregon,10.47,8.75,5.97,9.21,8.68
Washington,8.67,7.97,4.32,8.48,7.13
Pacific Noncontiguous,29.13,26.29,26.30,0.00,27.13
Alaska,19.14,17.09,15.66,0.00,17.46
Hawaii,37.04,34.21,30.22,0.00,33.43
U.S. Total,12.52,10.74,7.10,10.45,10.44
