2017 Total Electric Industry- Average Retail Price (cents/kWh),,,,,
"(Data from forms EIA-861- schedules 4A-D, EIA-861S and EIA-861U)",,,,,
State,Residential,Commercial,Industrial,Transportation,Total
New England,19.41,15.38,12.54,8.28,16.52
Connecticut,20.29,16.06,13.10,10.95,17.55
Maine,15.97,12.12,9.20,0.00,13.02
Massachusetts,20.06,15.93,13.88,6.22,17.12
New Hampshire,19.20,14.81,12.34,0.00,16.17
Rhode Island,18.32,15.20,14.57,17.08,16.42
Vermont,17.68,12.54,10.21,0.00,13.74
Middle Atlantic,15.99,12.57,6.90,11.27,12.63
New Jersey,15.65,12.28,10.12,8.81,13.32
New York,18.03,14.75,5.92,12.67,14.74
Pennsylvania,14.23,8.98,6.77,7.16,10.13
East North Central,13.36,10.16,7.08,6.65,10.12
Illinois,12.95,9.09,6.47,6.35,9.49
Indiana,12.29,10.54,7.54,11.23,9.77
Michigan,15.40,11.00,7.19,11.99,11.28
Ohio,12.63,10.05,6.92,7.50,9.84
Wisconsin,14.35,10.87,7.49,14.31,10.76
West North Central,12.13,9.81,7.17,9.01,9.77
Iowa,12.34,9.46,6.21,0.00,8.73
Kansas,13.31,10.59,7.54,0.00,10.60
Minnesota,13.04,10.48,7.37,9.56,10.27
Missouri,11.63,9.47,7.33,8.42,10.03
Nebraska,10.97,8.85,7.66,0.00,9.08
North Dakota,10.29,9.19,7.63,0.00,8.78
South Dakota,11.77,9.74,7.84,0.00,10.05
South Atlantic,11.86,9.39,6.50,7.84,9.96
Delaware,13.35,9.89,7.78,0.00,10.90
District of Columbia,12.94,11.66,8.23,8.90,11.80
Florida,11.61,9.35,7.83,8.62,10.42
Georgia,11.90,10.09,5.96,5.35,9.83
Maryland,13.96,10.75,8.37,7.74,11.98
North Carolina,10.94,8.44,6.20,8.55,9.04
South Carolina,13.02,10.57,6.19,0.00,9.97
Virginia,11.55,8.01,6.51,8.11,9.18
West Virginia,11.63,9.58,6.64,0.00,9.00
East South Central,11.30,10.60,5.93,0.00,9.29
Alabama,12.55,11.60,6.16,0.00,9.83
Kentucky,10.85,9.85,5.72,0.00,8.57
Mississippi,11.08,10.17,5.99,0.00,9.09
Tennessee,10.72,10.55,5.83,0.00,9.45
West South Central,10.74,8.34,5.45,8.28,8.26
Arkansas,10.28,8.51,6.07,12.26,8.26
Louisiana,9.74,8.95,5.48,9.93,7.79
Oklahoma,10.61,8.11,5.42,0.00,8.20
Texas,11.01,8.26,5.35,8.16,8.38
Mountain,11.89,9.61,6.55,9.88,9.51
Arizona,12.44,10.50,6.45,9.65,10.64
Colorado,12.17,9.89,7.50,9.77,9.99
Idaho,10.04,7.98,6.66,0.00,8.26
Montana,10.95,10.12,5.25,0.00,8.92
Nevada,11.99,7.96,6.15,8.61,8.76
New Mexico,12.88,10.19,6.15,0.00,9.59
Utah,10.95,8.64,6.13,10.26,8.60
Wyoming,11.37,9.70,6.92,0.00,8.28
Pacific Contiguous,15.08,13.76,9.36,8.71,13.28
California,18.31,15.76,12.73,8.68,16.06
Oregon,10.66,8.86,5.98,9.35,8.81
Washington,9.66,8.57,4.60,9.18,7.94
Pacific Noncontiguous,25.89,23.09,21.06,0.00,23.28
Alaska,21.27,18.89,16.34,0.00,19.10
Hawaii,29.50,26.77,22.92,0.00,26.05
U.S. Total,12.89,10.66,6.88,9.68,10.48
